 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1,"Equinoccio (feat. Huaira)","Nicola Cruz, Huaira",94,4A,62,2025-09-16,03:40,38,"electrocumbia, downtempo","Electronic","Prender el Alma",2015-10-30,82,27,24,39,0,10,-10,F minor,4,4mbeMzcKPdJi2zVhV0yRYH,"ZZK Records",GBGLW1500156
2,"Alma Andina","Aydn Britt, Eike Hosenfeld",180,9B,80,2025-10-20,03:50,32,"organic house, downtempo","Electronic","Alma Andina",2025-05-16,73,13,92,63,0,10,-7,G,4,20ap9LZmubTCmoIHlQ2abh,"Aydn Britt",QZVEM2576420
3,"Aquelarre","Antaares",108,3B,41,2025-10-16,06:15,20,"downtempo, organic house","Electronic","Aquelarre",2024-06-10,79,48,93,7,0,10,-13,C♯/D♭,4,6dzxBFLAOIG0TyFNf8vA1z,"down.",US83Z2485283
4,"Caligo","Kurup",108,5B,46,2025-10-16,06:45,32,"downtempo, organic house","Electronic","Tropical Twista Records 6 anos, Vol. 1",2021-07-28,79,45,83,44,0,10,-13,D#/E♭,4,3ckTO9yMkVe8uc4r1u94Qt,"Tropical Twista Records",DEBE72100951
5,"Tortuga","Israel Vich, Marco Tegui",110,10A,46,2025-10-16,06:08,40,"organic house, downtempo, tribal house","Electronic","Ayahuasca EP",2019-09-20,85,3,91,46,10,10,-11,B minor,4,1WOrvhA5HsyGSL4O7oE6XI,"Kindisch",DEBE71900564
6,"Alpha Waves","LennyTunes",87,8A,46,2025-11-12,03:43,35,"organic house, downtempo","Electronic","Fine Sands",2024-08-23,85,86,90,57,40,0,-10,A minor,4,09QCAv8X9wEsnlanlZBgnZ,"LennyTunes Music",QZTAY2465174
7,"Thirst No More","Captain Planet",105,6A,83,2025-11-12,03:42,25,"electrocumbia","","Climate Soundtrack II",2021-11-05,79,1,89,45,0,20,-9,G minor,4,46bffnVN1c67nrausgviki,"Soul Clap Records",USA2P2141937
8,"Self Hypnosis","islandman",170,8B,40,2025-11-14,05:48,38,"downtempo, organic house","Electronic","Bahar",2022-05-06,60,87,83,39,0,0,-13,C,4,6opwC6PK5zmG5Wqu30EsL7,"Music For Dreams",DKAZ72263604
9,"Pismo Ceniza","Yeahman",164,2A,53,2025-12-25,04:05,50,"","","Transborda",2017-05-22,65,87,89,74,0,10,-13,D#/E♭ minor,4,5Qx8J0aecq7Bd8ZoSaAeAJ,"Frente Bolivarista",TCADT1804188
10,"Colibrío","Namirí",100,10A,49,2025-12-25,04:45,37,"","","Canto Raíz",2024-07-19,78,53,88,14,0,10,-11,B minor,4,4PF6aVTKVT1aHrb8EwQoxN,"Resueño",USLZJ2339206
11,"Beggin'","Leonardo L. Monescau",120,4B,45,2025-12-25,03:02,31,"","","This Time",2025-11-14,82,0,88,82,0,0,-12,G#/A♭,4,43BCV0x1IhHhBTN3dUYX0m,"Leonardo L. Monescau",USL4R2529170
12,"Beggin'","Leonardo L. Monescau",120,4B,45,2025-12-25,03:02,31,"","","This Time",2025-11-14,82,0,88,82,0,0,-12,G#/A♭,4,43BCV0x1IhHhBTN3dUYX0m,"Leonardo L. Monescau",USL4R2529170
13,"Huaca in the Nature","Tikki Masala",91,10B,37,2025-12-25,05:40,27,"","","Huaca",2020-06-26,90,8,93,50,10,10,-16,D,4,1GcYo1Yb9ryzzt2p9e9UiC,"Masala Records",QZHN82093964
14,"Mayahuasca - Tzen Tze Re Rei","La Rito, Magupi, Loli Cosmica",99,9B,42,2025-12-25,05:32,35,"organic house, downtempo","Electronic","Mayahuasca (Tzen Tze Re Rei)",2021-06-11,76,28,87,14,0,10,-10,G,4,4bEjQ8XVy9aN6bgSpwupij,"Inner Shah Recordings",GBKQU2160740
15,"Maracajá","Kurup",105,8A,58,2025-12-25,06:14,30,"downtempo, organic house","Electronic","Urban Cosmonaut Reveries",2017-12-18,80,42,54,54,0,10,-8,A minor,4,3bEWIkZlCguMw6KwNOkhiL,"Urban Cosmonaut Radio",DEY472279417
16,"Medusa","El Búho, Klik & Frik",85,3A,27,2025-12-25,04:03,50,"electrocumbia","","Ramas",2020-03-27,82,9,92,35,30,10,-14,A#/B♭ minor,4,63y0uv7hGZd5DU0ESLhPrQ,"WONDERWHEEL RECORDINGS",USCCW1610974
17,"Cancuban","El Búho, M.RUX",135,3B,47,2025-12-25,04:39,29,"electrocumbia, downtempo","Electronic","Ramas",2020-03-27,89,29,95,82,0,0,-12,C♯/D♭,3,6U88YUrEzi0rXlXd3rVmyf,"WONDERWHEEL RECORDINGS",USCCW1610978
18,"Octopus Flow","Gingaí",96,10B,54,2025-12-25,08:11,9,"downtempo","Electronic","Octopus Flow",2021-12-19,80,14,90,16,10,0,-12,D,4,5raO605GQ33JKrXILw8PH7,"Agami Records",QZTPX2171104
